Season,Wteam,Lteam,Wscore,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wto,Wstl,Wblk,Wpf,Lscore,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lto,Lstl,Lblk,Lpf
2015,1103,1420,74,25,53,12,30,12,21,12,7,5,22,57,20,48,3,12,14,28,16,9,0,19
2015,1104,1406,82,29,63,7,23,17,19,8,14,9,16,54,18,50,7,21,11,15,22,2,2,20
2015,1112,1291,78,31,54,4,16,12,25,8,11,5,11,55,20,52,7,21,8,12,16,2,0,17
2015,1113,1152,86,30,49,7,16,19,34,11,7,4,22,50,17,53,3,20,13,23,17,5,3,30
2015,1119,1102,84,30,61,13,25,11,17,15,6,4,21,78,31,62,6,19,10,15,18,8,6,21
2015,1120,1454,83,24,52,7,14,28,39,12,6,1,17,73,30,59,7,21,6,14,12,7,5,28
2015,1124,1270,80,30,58,7,22,13,23,14,7,5,14,39,13,62,4,21,9,15,10,7,2,19
2015,1129,1360,81,23,49,6,17,29,44,13,0,3,30,75,20,50,5,19,30,44,14,4,5,33
2015,1130,1306,58,19,53,1,19,19,27,11,6,2,17,50,15,49,6,23,14,20,19,5,1,24
2015,1135,1389,70,20,41,6,13,24,30,15,5,3,17,58,22,61,6,26,8,12,13,8,1,27
2015,1137,1265,75,25,60,7,20,18,24,7,4,2,11,72,24,57,12,28,12,12,7,5,5,22
2015,1138,1355,69,22,68,1,9,24,30,8,8,7,25,67,24,60,5,18,14,29,14,3,4,23
2015,1140,1253,95,28,54,11,24,28,33,17,6,3,22,90,33,61,13,22,11,20,18,10,3,25
2015,1143,1108,91,37,71,10,24,7,13,8,6,7,21,57,18,57,3,15,18,28,10,3,3,15
2015,1149,1279,66,22,67,8,35,14,27,17,10,0,25,65,19,63,6,30,21,32,17,7,8,24
2015,1153,1384,52,21,46,2,14,8,11,17,11,4,18,37,12,40,4,16,9,18,21,7,0,14
2015,1155,1197,86,32,66,7,25,15,26,5,8,6,16,41,16,48,0,7,9,20,24,3,1,26
2015,1158,1202,75,31,59,11,21,2,4,7,8,4,27,40,10,41,2,12,18,35,16,0,1,13
2015,1160,1180,65,22,52,4,13,17,24,14,6,3,16,48,16,55,7,29,9,14,12,5,5,23
2015,1163,1136,66,25,54,6,19,10,11,10,5,6,14,53,19,56,7,21,8,12,10,4,2,15
2015,1165,1206,68,21,47,9,18,17,28,16,1,3,21,60,21,68,7,27,11,21,5,5,4,24
2015,1166,1146,104,35,72,9,26,25,30,13,9,2,20,77,26,56,11,24,14,20,20,4,4,30
2015,1173,1105,76,24,51,8,20,20,29,11,6,2,19,52,16,49,7,19,13,18,13,3,3,22
2015,1177,1227,72,27,61,6,28,12,24,8,10,4,22,71,21,57,5,19,24,29,13,6,2,22
2015,1181,1342,113,42,69,16,31,13,16,9,12,4,17,44,18,52,1,12,7,11,17,6,1,22
2015,1184,1366,76,25,63,5,26,21,25,14,17,3,19,53,21,44,2,8,9,20,33,9,6,24
2015,1186,1411,86,32,64,15,34,7,15,15,7,9,23,62,18,60,4,25,22,31,14,8,1,15
2015,1189,1194,64,22,52,3,12,17,22,11,7,1,23,58,18,48,5,16,17,24,16,4,3,23
2015,1192,1386,58,22,56,6,19,8,13,7,10,0,17,57,22,55,5,20,8,14,16,4,5,14
2015,1193,1148,71,22,55,6,20,21,29,7,2,3,20,63,19,55,5,15,20,24,8,3,2,23
2015,1196,1456,68,25,53,6,17,12,15,10,8,1,11,45,18,57,2,22,7,9,12,2,2,14
2015,1203,1212,92,35,63,6,20,16,24,11,10,7,14,40,15,53,2,10,8,16,17,7,3,22
2015,1210,1208,80,28,63,7,19,17,27,12,7,5,18,73,26,62,5,20,16,21,12,7,5,23
2015,1211,1170,104,36,66,10,24,22,32,12,12,6,18,58,20,56,5,15,13,20,22,7,1,29
2015,1218,1115,85,31,67,8,24,15,20,17,10,3,19,57,19,53,5,19,14,23,16,11,3,20
2015,1219,1167,100,36,73,10,24,18,32,11,6,4,22,99,35,75,7,21,22,27,20,5,5,27
