Season,Wteam,Lteam,Wscore,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wto,Wstl,Wblk,Wpf,Lscore,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lto,Lstl,Lblk,Lpf
2014,1107,1291,71,27,47,2,9,15,19,14,3,1,13,64,22,60,12,37,8,12,4,3,1,16
2014,1301,1462,74,29,53,4,14,12,16,9,4,9,14,59,23,55,2,14,11,16,13,3,0,17
2014,1142,1411,81,29,51,6,15,17,22,10,4,4,20,69,24,50,4,13,17,22,13,3,1,23
2014,1397,1234,78,24,54,5,21,25,30,8,2,1,14,65,24,58,4,16,13,15,6,2,2,28
2014,1163,1386,89,30,66,11,24,18,20,9,6,2,21,81,27,54,7,21,20,27,14,3,2,22
2014,1173,1326,60,22,49,3,13,13,17,13,10,0,14,59,24,50,3,12,8,12,14,10,4,16
2014,1196,1107,67,25,49,3,12,14,18,10,7,5,14,55,20,51,4,13,11,14,10,4,2,15
2014,1217,1153,61,19,44,6,17,17,28,12,4,3,15,57,21,57,4,12,11,16,11,6,6,20
2014,1257,1264,71,20,55,4,13,27,35,12,11,8,18,64,23,51,3,5,15,21,15,8,5,27
2014,1276,1459,57,22,46,7,17,6,9,11,8,1,8,40,18,53,1,19,3,4,9,3,0,14
2014,1277,1174,93,30,56,10,19,23,25,14,4,2,27,78,20,55,8,20,30,39,8,4,1,19
2014,1295,1328,80,27,51,6,14,20,22,15,5,6,20,75,25,72,12,30,13,18,10,5,3,16
2014,1332,1140,87,27,54,2,13,31,38,8,4,4,22,68,20,61,5,19,23,30,9,4,0,25
2014,1338,1160,77,31,61,4,14,11,12,3,12,3,13,48,15,42,4,16,14,18,17,2,0,12
2014,1361,1308,73,23,59,6,17,21,27,11,8,9,18,69,26,65,5,16,12,20,13,4,4,22
2014,1387,1301,83,31,64,9,18,12,26,9,7,4,26,80,28,60,4,9,20,37,12,7,5,20
2014,1393,1444,77,28,57,7,17,14,17,12,8,6,21,53,17,49,4,18,15,20,13,4,1,16
2014,1400,1113,87,31,58,5,12,20,27,9,6,5,24,85,27,56,8,15,23,33,10,2,1,18
2014,1437,1454,73,28,62,4,23,13,16,11,8,10,17,53,18,63,6,24,11,15,12,4,2,14
2014,1458,1110,75,26,52,10,23,13,14,7,9,1,15,35,11,37,4,15,9,15,17,5,0,16
2014,1112,1451,68,26,47,7,14,9,16,12,4,12,20,59,16,53,7,17,20,23,10,8,3,17
2014,1124,1304,74,17,42,2,13,38,48,12,7,2,16,60,23,54,4,21,10,16,11,9,7,31
2014,1166,1418,76,28,54,9,23,11,21,6,0,3,17,66,25,66,4,16,12,17,4,3,5,18
2014,1211,1329,85,25,50,9,18,26,41,15,5,1,28,77,26,65,3,15,22,37,12,10,2,33
2014,1235,1300,93,35,55,9,17,14,16,9,5,5,14,75,30,65,5,16,10,12,6,3,5,13
2014,1242,1184,80,32,53,0,7,16,24,14,2,7,14,69,22,57,12,31,13,16,7,8,1,21
2014,1246,1243,56,19,50,4,15,14,21,15,4,7,11,49,19,53,5,21,6,12,10,7,3,20
2014,1272,1203,71,27,55,6,22,11,16,12,8,4,20,66,25,56,2,12,14,24,10,9,2,16
2014,1273,1181,78,25,45,5,13,23,28,8,3,0,15,71,22,62,15,37,12,13,12,6,1,22
2014,1314,1344,79,33,71,4,15,9,13,9,7,4,19,77,28,53,4,16,17,21,10,4,8,14
2014,1372,1433,77,27,51,6,16,17,23,17,6,2,16,75,30,65,8,21,7,11,11,11,5,21
2014,1390,1307,58,19,49,8,15,12,17,10,6,5,20,53,19,52,4,21,11,19,10,2,2,18
2014,1397,1269,86,30,56,2,14,24,31,12,8,3,13,67,28,66,3,11,8,11,13,8,1,21
2014,1417,1409,76,29,63,5,16,13,15,10,11,5,13,59,21,57,7,19,10,14,16,2,2,18
2014,1438,1157,70,21,40,8,17,20,25,7,4,5,16,59,21,50,9,19,8,14,8,5,2,19
2014,1455,1142,64,23,50,6,19,12,21,12,4,6,17,37,12,58,5,28,8,18,6,7,1,17
2014,1163,1437,77,23,52,9,20,22,28,11,11,2,17,65,18,51,11,31,18,24,16,6,2,24
2014,1173,1393,55,19,46,7,16,10,18,14,7,4,16,53,21,54,0,10,11,14,9,6,7,16
2014,1196,1338,61,25,58,5,20,6,9,6,10,5,7,45,19,51,4,17,3,6,11,4,2,12
2014,1257,1387,66,22,49,6,17,16,24,19,9,5,18,51,21,53,0,15,9,16,18,9,0,19
2014,1276,1400,79,24,54,14,28,17,21,4,5,2,12,65,23,62,4,11,15,16,9,3,3,16
2014,1277,1217,80,28,57,7,21,17,22,11,9,1,20,73,22,53,6,17,23,30,11,4,3,17
2014,1361,1295,63,19,44,7,16,18,24,6,4,2,16,44,15,47,2,11,12,17,6,1,2,17
2014,1458,1332,85,29,60,11,28,16,25,8,1,1,17,77,24,49,8,18,21,23,8,5,1,23
